Type,Body_Type,Region,Make,Make_Tier,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
Caprice,Sedan,Riyadh,Chevrolet,Midrange,Automatic,Saudi,Standard,2015,6.2,268041,75000
C,Other,Dammam,Mercedes,Premium Luxury,Automatic,Saudi,Full,2015,2.0,125000,119000
Durango,SUV,Riyadh,Dodge,Midrange,Automatic,Saudi,Semi Full,2013,5.7,253,29000
ES,Luxury,Riyadh,Lexus,Premium Luxury,Automatic,Gulf Arabic,Full,2017,3.5,85000,141000
3,Other,Al-Medina,Mazda,Midrange,Automatic,Saudi,Standard,2018,2.0,47000,54000
Elantra,Sedan,Jeddah,Hyundai,Midrange,Automatic,Saudi,Standard,2019,1.6,76014,48000
Rush,SUV,Jeddah,Toyota,Midrange,Automatic,Saudi,Standard,2020,1.5,55000,52000
Sentra,Other,Riyadh,Nissan,Midrange,Automatic,Saudi,Standard,2017,1.6,105272,38500
Range Rover,SUV,Jeddah,Land Rover,Premium Luxury,Automatic,Saudi,Full,2014,2.0,48000,100000
Cherokee,SUV,Riyadh,Jeep,Midrange,Automatic,Saudi,Standard,2010,3.4,400,15000
Hilux,Pickup,Dammam,Toyota,Midrange,Manual,Saudi,Standard,2017,2.7,73000,72000
Accent,Sedan,Dammam,Hyundai,Midrange,Automatic,Saudi,Standard,2017,1.6,109000,33000
Expedition,SUV,Riyadh,Ford,Midrange,Automatic,Saudi,Standard,2014,5.7,190700,59000
Camry,Sedan,Jeddah,Toyota,Midrange,Automatic,Saudi,Semi Full,2016,2.5,238000,48500
Azera,Sedan,Makkah,Hyundai,Midrange,Automatic,Gulf Arabic,Semi Full,2012,3.0,433000,30000
Edge,Other,Al-Ahsa,Ford,Midrange,Automatic,Saudi,Semi Full,2016,3.5,198000,69000
Hilux,Pickup,Jeddah,Toyota,Midrange,Manual,Saudi,Full,2014,2.7,180000,52000
CX9,SUV,Qassim,Mazda,Midrange,Automatic,Gulf Arabic,Full,2015,2.4,138020,58000
Sonata,Sedan,Tabouk,Hyundai,Midrange,Automatic,Gulf Arabic,Full,2018,2.0,79000,36000
The 5,Luxury,Riyadh,BMW,Premium Luxury,Automatic,Saudi,Semi Full,2011,3.0,276000,65000
Veloster,Hatchback,Riyadh,Hyundai,Midrange,Automatic,Saudi,Full,2019,2.0,63000,62000
Prestige,Luxury,Tabouk,Genesis,Premium Luxury,Automatic,Gulf Arabic,Semi Full,2015,3.8,85343,81000
Taurus,Sedan,Jazan,Ford,Midrange,Automatic,Saudi,Full,2014,3.5,269177,60000
Land Cruiser,SUV,Dammam,Toyota,Midrange,Automatic,Saudi,Full,2015,4.6,83000,160000
E,Other,Riyadh,Mercedes,Premium Luxury,Automatic,Other,Standard,2016,2.0,110440,98000
G,Other,Riyadh,Mercedes,Premium Luxury,Automatic,Saudi,Full,2015,8.8,213000,240000
Seven,Other,Riyadh,Changan,Entry Level,Automatic,Saudi,Standard,2020,1.5,36833,28500
Sonata,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Standard,2019,2.4,127974,61500
LX,Other,Riyadh,Lexus,Premium Luxury,Automatic,Saudi,Full,2019,5.7,41142,381000
Innova,MPV,Riyadh,Toyota,Midrange,Automatic,Saudi,Standard,2017,2.7,203312,62500
IS,Sedan,Dammam,Lexus,Premium Luxury,Automatic,Other,Full,2017,3.0,90000,117000
Cerato,Other,Jeddah,Kia,Midrange,Automatic,Saudi,Full,2010,1.6,293300,13500
Camry,Sedan,Dammam,Toyota,Midrange,Automatic,Other,Semi Full,2001,2.5,346900,17000
Hiace,Van,Riyadh,Toyota,Midrange,Manual,Other,Standard,2016,2.7,99999,69000
Avalon,Sedan,Tabouk,Toyota,Midrange,Automatic,Saudi,Semi Full,2019,3.5,60000,115000
Expedition,SUV,Dammam,Ford,Midrange,Automatic,Saudi,Full,2018,3.6,44200,159000
Blazer,SUV,Jeddah,Chevrolet,Midrange,Automatic,Saudi,Full,2008,3.6,220000,18000
Fluence,Sedan,Dammam,Renault,Entry Level,Automatic,Saudi,Semi Full,2015,1.6,91000,20000
ES,Luxury,Khobar,Lexus,Premium Luxury,Automatic,Other,Full,2007,6.1,240000,24000
Camry,Sedan,Qassim,Toyota,Midrange,Automatic,Gulf Arabic,Standard,2016,2.5,116987,58000
Grand Cherokee,SUV,Dammam,Jeep,Midrange,Automatic,Saudi,Full,2017,5.7,102000,99000
Pajero,SUV,Aseer,Mitsubishi,Midrange,Automatic,Saudi,Full,2018,3.8,62000,82000
Elantra,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Standard,2019,1.6,120496,40800
Edge,Other,Riyadh,Ford,Midrange,Automatic,Saudi,Standard,2009,3.5,357,20000
Furniture,Other,Riyadh,Toyota,Midrange,Automatic,Other,Semi Full,2013,2.4,170000,55000
Elantra,Sedan,Dammam,Hyundai,Midrange,Automatic,Saudi,Standard,2020,2.0,130000,53000
Hilux,Pickup,Tabouk,Toyota,Midrange,Manual,Saudi,Semi Full,2013,2.7,290,55000
Sonata,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Semi Full,2018,2.4,65325,71500
Vego,Pickup,Jeddah,Ford,Midrange,Automatic,Saudi,Standard,2019,1.5,51419,27500
Fusion,Sedan,Dammam,Ford,Midrange,Automatic,Gulf Arabic,Semi Full,2016,1.2,99200,45000
Yaris,Hatchback,Jeddah,Toyota,Midrange,Automatic,Saudi,Standard,2018,1.5,117313,32500
Optima,Sedan,Dammam,Kia,Midrange,Automatic,Saudi,Semi Full,2014,2.0,241000,35000
Suburban,Other,Makkah,Chevrolet,Midrange,Automatic,Saudi,Semi Full,2011,4.0,289,36000
Elantra,Sedan,Jeddah,Hyundai,Midrange,Automatic,Saudi,Standard,2017,2.0,145000,37000
Hilux,Pickup,Dammam,Toyota,Midrange,Manual,Saudi,Standard,2015,2.7,183000,60000
Furniture,Other,Riyadh,Toyota,Midrange,Automatic,Saudi,Semi Full,2020,2.7,11571,116500
Expedition,SUV,Riyadh,Ford,Midrange,Automatic,Saudi,Full,2014,4.0,116000,50000
Land Cruiser,SUV,Riyadh,Toyota,Midrange,Automatic,Saudi,Full,2018,5.7,82000,220000
Sunny,Sedan,Riyadh,Nissan,Midrange,Manual,Saudi,Standard,2008,1.5,275000,10000
E,Other,Jeddah,Mercedes,Premium Luxury,Manual,Other,Semi Full,2017,9.0,134000,155000
Land Cruiser,SUV,Al-Medina,Toyota,Midrange,Automatic,Saudi,Full,2006,4.5,311100,63000
Grand Cherokee,SUV,Riyadh,Jeep,Midrange,Automatic,Gulf Arabic,Full,2014,5.7,76300,85000
Optima,Sedan,Riyadh,Kia,Midrange,Automatic,Saudi,Standard,2017,2.4,263400,40000
Ciocca,Other,Riyadh,Toyota,Midrange,Automatic,Saudi,Standard,2016,5.7,348000,79000
Hilux,Pickup,Aseer,Toyota,Midrange,Manual,Saudi,Full,2020,2.4,34000,120000
Prado,Other,Riyadh,Toyota,Midrange,Automatic,Saudi,Semi Full,2016,4.0,192901,114500
Land Cruiser,SUV,Taef,Toyota,Midrange,Automatic,Saudi,Standard,2007,1.2,300000,30000
Sunny,Sedan,Riyadh,Nissan,Midrange,Automatic,Saudi,Standard,2019,1.5,105509,26000
Accent,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Standard,2018,1.4,41000,34000
Cerato,Other,Riyadh,Kia,Midrange,Automatic,Saudi,Standard,2016,1.6,50000,29000
C300,Sedan,Riyadh,Chrysler,Entry Level,Automatic,Saudi,Full,2008,5.7,390000,25000
Camry,Sedan,Riyadh,Toyota,Midrange,Automatic,Saudi,Semi Full,2013,2.5,300000,35000
Camry,Sedan,Qassim,Toyota,Midrange,Manual,Saudi,Standard,2001,1.4,300,13500
Accent,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Semi Full,2017,1.6,110448,30000
Camry,Sedan,Jeddah,Toyota,Midrange,Automatic,Saudi,Semi Full,2008,1.7,280000,17000
Marquis,Sedan,Riyadh,Ford,Midrange,Automatic,Saudi,Full,2011,4.6,114000,48000
Q,Other,Riyadh,INFINITI,Premium Luxury,Automatic,Gulf Arabic,Semi Full,2019,2.0,5000,90000
Corolla,Sedan,Riyadh,Toyota,Midrange,Automatic,Saudi,Semi Full,2017,1.6,107000,39000
Taurus,Sedan,Riyadh,Ford,Midrange,Automatic,Saudi,Standard,2017,3.5,158039,75000
3,Other,Riyadh,Mazda,Midrange,Automatic,Saudi,Semi Full,2016,2.0,104800,39000
CX9,SUV,Riyadh,Mazda,Midrange,Automatic,Saudi,Full,2015,1.9,274000,66000
Yukon,SUV,Riyadh,GMC,Midrange,Automatic,Saudi,Semi Full,2013,5.3,77000,80000
Elantra,Sedan,Jeddah,Hyundai,Midrange,Manual,Saudi,Standard,2011,2.0,337000,10000
Accent,Sedan,Dammam,Hyundai,Midrange,Automatic,Saudi,Standard,2016,1.4,159626,27500
S,Other,Dammam,Mercedes,Premium Luxury,Automatic,Other,Full,2015,3.0,46000,210000
Accord,Sedan,Dammam,Honda,Midrange,Automatic,Gulf Arabic,Semi Full,2016,2.4,129000,68000
F3,Other,Al-Medina,BYD,Midrange,Automatic,Saudi,Standard,2020,1.5,60000,28000
Taurus,Sedan,Jeddah,Ford,Midrange,Automatic,Saudi,Standard,2019,2.0,26000,84000
Accent,Sedan,Dammam,Hyundai,Midrange,Manual,Saudi,Standard,2005,1.5,294602,5000
Kona,Other,Jeddah,Hyundai,Midrange,Automatic,Saudi,Standard,2019,2.0,76000,56000
Flex,Other,Khobar,Ford,Midrange,Automatic,Saudi,Semi Full,2012,3.5,282000,25000
Corolla,Sedan,Yanbu,Toyota,Midrange,Automatic,Saudi,Standard,2019,1.6,39000,52000
Land Cruiser,SUV,Jeddah,Toyota,Midrange,Automatic,Saudi,Full,2019,4.6,38000,248000
Range Rover,SUV,Riyadh,Land Rover,Premium Luxury,Automatic,Other,Full,2018,3.8,50000,290000
Datsun,Other,Riyadh,Nissan,Midrange,Manual,Other,Semi Full,2015,2.4,108500,27500
Explorer,SUV,Dammam,Ford,Midrange,Automatic,Other,Full,2016,3.6,151000,106000
Fusion,Sedan,Riyadh,Ford,Midrange,Automatic,Other,Full,2017,2.0,55000,65000
Range Rover,SUV,Jeddah,Land Rover,Premium Luxury,Automatic,Saudi,Full,2008,3.3,240,35000
Taurus,Sedan,Dammam,Ford,Midrange,Automatic,Saudi,Semi Full,2013,3.5,177000,70000
UX,Other,Dammam,Lexus,Premium Luxury,Automatic,Gulf Arabic,Full,2020,2.0,10000,176000
Corolla,Sedan,Dammam,Toyota,Midrange,Automatic,Saudi,Standard,2018,1.6,67000,52000
S,Other,Dammam,Mercedes,Premium Luxury,Automatic,Saudi,Full,2013,3.0,110000,113000
Accent,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Standard,2019,1.4,74917,38500
Beetle,Hatchback,Jeddah,Volkswagen,Midrange,Automatic,Other,Semi Full,2015,1.8,89000,54000
Optima,Sedan,Riyadh,Kia,Midrange,Automatic,Saudi,Standard,2018,2.0,101381,48500
Corolla,Sedan,Taef,Toyota,Midrange,Automatic,Saudi,Standard,2018,1.6,65000,52000
Pajero,SUV,Riyadh,Mitsubishi,Midrange,Automatic,Saudi,Semi Full,2012,3.0,360000,24000
Sonata,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Full,2015,2.4,173000,43000
FJ,SUV,Dammam,Toyota,Midrange,Automatic,Saudi,Semi Full,2014,4.0,199000,95000
Pajero,SUV,Riyadh,Mitsubishi,Midrange,Automatic,Saudi,Standard,2016,3.8,144624,47000
Furniture,Other,Makkah,Toyota,Midrange,Automatic,Saudi,Standard,2015,2.7,250000,55000
Avalon,Sedan,Riyadh,Toyota,Midrange,Automatic,Saudi,Standard,2008,3.5,320000,30000
Azera,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Semi Full,2016,2.4,36000,48000
S,Other,Riyadh,Mercedes,Premium Luxury,Automatic,Other,Full,2017,3.0,53000,260000
FJ,SUV,Qassim,Toyota,Midrange,Automatic,Saudi,Full,2015,2.7,230000,85000
Sunny,Sedan,Riyadh,Nissan,Midrange,Manual,Saudi,Standard,2011,1.6,311000,10000
Senta fe,SUV,Jeddah,Hyundai,Midrange,Automatic,Saudi,Full,2016,3.3,73115,85000
F150,Pickup,Riyadh,Ford,Midrange,Automatic,Saudi,Semi Full,2019,3.5,13339,291500
Edge,Other,Jeddah,Ford,Midrange,Automatic,Saudi,Full,2013,3.5,240,43000
Prado,Other,Jazan,Toyota,Midrange,Automatic,Saudi,Full,2012,4.0,240000,70000
Accent,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Standard,2015,1.2,150,20000
Land Cruiser Pickup,Pickup,Riyadh,Toyota,Midrange,Manual,Saudi,Semi Full,2013,4.0,105154,85000
Tahoe,SUV,Dammam,Chevrolet,Midrange,Automatic,Other,Semi Full,2018,3.0,127000,159000
Explorer,SUV,Makkah,Ford,Midrange,Automatic,Other,Standard,2013,3.5,218000,48000
LX,Other,Taef,Lexus,Premium Luxury,Automatic,Gulf Arabic,Full,2018,7.5,122000,340000
Avalon,Sedan,Riyadh,Toyota,Midrange,Automatic,Saudi,Full,2017,3.5,104159,106500
Accord,Sedan,Al-Ahsa,Honda,Midrange,Automatic,Gulf Arabic,Full,2016,1.6,81000,63000
Creta,SUV,Besha,Hyundai,Midrange,Automatic,Saudi,Full,2018,1.6,11800,56000
C,Other,Riyadh,Mercedes,Premium Luxury,Automatic,Gulf Arabic,Full,2015,2.0,54000,120000
Explorer,SUV,Dammam,Ford,Midrange,Automatic,Saudi,Standard,2017,3.6,150000,73000
Corolla,Sedan,Jeddah,Toyota,Midrange,Automatic,Saudi,Standard,2014,1.6,275000,25000
Navara,Pickup,Riyadh,Nissan,Midrange,Manual,Saudi,Standard,2016,2.5,132714,41500
Sonata,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Semi Full,2020,2.5,12000,78000
Sunny,Sedan,Riyadh,Nissan,Midrange,Automatic,Saudi,Standard,2018,1.5,105000,23000
Datsun,Other,Riyadh,Nissan,Midrange,Manual,Saudi,Full,2015,2.4,212000,42000
Yaris,Hatchback,Dammam,Toyota,Midrange,Automatic,Saudi,Standard,2018,1.5,122000,37000
Lancer,Other,Jeddah,Mitsubishi,Midrange,Automatic,Saudi,Standard,2014,1.0,150000,16000
Innova,MPV,Makkah,Toyota,Midrange,Automatic,Saudi,Standard,2015,2.7,250000,38500
C,Other,Riyadh,Mercedes,Premium Luxury,Automatic,Gulf Arabic,Semi Full,2015,2.0,73000,110000
Rav4,SUV,Jeddah,Toyota,Midrange,Automatic,Saudi,Standard,2018,2.5,72000,95000
Hiace,Van,Riyadh,Toyota,Midrange,Manual,Saudi,Standard,2017,2.7,555555,73000
Accent,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Standard,2017,1.4,112000,27000
Hilux,Pickup,Al-Medina,Toyota,Midrange,Manual,Saudi,Semi Full,2016,1.0,121,60500
Caprice,Sedan,Riyadh,Chevrolet,Midrange,Automatic,Saudi,Standard,2016,6.2,155000,77000
Camry,Sedan,Tabouk,Toyota,Midrange,Manual,Saudi,Standard,1999,2.4,400,20000
Taurus,Sedan,Dammam,Ford,Midrange,Automatic,Saudi,Standard,2017,6.0,75000,65000
Yukon,SUV,Dammam,GMC,Midrange,Automatic,Saudi,Full,2007,5.3,235000,65000
Altima,Sedan,Qassim,Nissan,Midrange,Automatic,Gulf Arabic,Standard,2015,2.5,60829,48000
Sunny,Sedan,Al-Medina,Nissan,Midrange,Automatic,Saudi,Standard,2019,1.5,98000,27500
Suburban,Other,Riyadh,GMC,Midrange,Automatic,Saudi,Standard,2004,5.3,300000,8000
Impala,Sedan,Riyadh,Chevrolet,Midrange,Automatic,Saudi,Full,2015,3.6,212000,64000
Range Rover,SUV,Dammam,Land Rover,Premium Luxury,Automatic,Saudi,Full,2015,5.0,140000,245000
Patrol,SUV,Jeddah,Nissan,Midrange,Automatic,Saudi,Standard,2016,4.8,59000,83000
Rio,Hatchback,Riyadh,Kia,Midrange,Automatic,Saudi,Full,2019,1.4,48000,38000
Sonata,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Semi Full,2018,2.4,117000,63000
Tahoe,SUV,Riyadh,Chevrolet,Midrange,Automatic,Saudi,Full,2016,5.3,97955,145000
Taurus,Sedan,Dammam,Ford,Midrange,Automatic,Saudi,Standard,2016,3.5,144000,55000
Marquis,Sedan,Al-Ahsa,Ford,Midrange,Automatic,Saudi,Semi Full,2009,4.0,377000,21000
Range Rover,SUV,Riyadh,Land Rover,Premium Luxury,Automatic,Gulf Arabic,Full,2016,5.0,110000,255000
Van R,Van,Hafar Al-Batin,Victory Auto,Entry Level,Manual,Saudi,Full,2017,1.2,1500,31000
Mustang,Coupe/Sports,Dammam,Ford,Midrange,Automatic,Gulf Arabic,Full,2016,3.7,240000,89000
Elantra,Sedan,Riyadh,Hyundai,Midrange,Automatic,Gulf Arabic,Full,2015,2.0,140,38000
Rush,SUV,Khobar,Toyota,Midrange,Automatic,Saudi,Semi Full,2021,1.5,9000,59500
CS35 Plus,Other,Riyadh,Changan,Entry Level,Automatic,Saudi,Full,2020,1.4,67095,60000
Caprice,Sedan,Riyadh,Chevrolet,Midrange,Automatic,Saudi,Standard,2010,3.6,283000,33000
Yukon,SUV,Al-Baha,GMC,Midrange,Automatic,Saudi,Full,2009,6.2,138000,55000
Range Rover,SUV,Riyadh,Land Rover,Premium Luxury,Automatic,Saudi,Standard,2020,3.0,17000,428000
Hiace,Van,Abha,Toyota,Midrange,Manual,Saudi,Standard,2016,2.7,180000,72000
DB9,Coupe/Sports,Dammam,Aston Martin,Ultra Luxury,Automatic,Saudi,Full,2010,6.0,71000,180000
Range Rover,SUV,Dammam,Land Rover,Premium Luxury,Automatic,Saudi,Full,2014,3.0,195000,170000
Expedition,SUV,Riyadh,Ford,Midrange,Automatic,Saudi,Standard,2017,3.5,123000,85000
ML,SUV,Makkah,Mercedes,Premium Luxury,Automatic,Saudi,Semi Full,2005,3.7,356000,19000
Sierra,SUV,Dammam,GMC,Midrange,Automatic,Saudi,Standard,2015,5.3,86000,98000
Range Rover,SUV,Al-Ahsa,Land Rover,Premium Luxury,Automatic,Other,Full,2016,4.3,87000,167000
C,Other,Dammam,Mercedes,Premium Luxury,Automatic,Saudi,Full,2018,3.0,44000,180000
Hilux,Pickup,Dammam,Toyota,Midrange,Manual,Saudi,Standard,2016,1.5,131006,58000
Sorento,Other,Jeddah,Kia,Midrange,Automatic,Saudi,Semi Full,2010,3.3,213000,22000
Rio,Hatchback,Dammam,Kia,Midrange,Automatic,Saudi,Standard,2016,1.4,119000,20000
X-Trail,SUV,Aseer,Nissan,Midrange,Automatic,Saudi,Semi Full,2016,2.5,142000,46000
Tahoe,SUV,Riyadh,Chevrolet,Midrange,Automatic,Other,Full,2016,5.3,128000,164000
Victoria,Sedan,Jeddah,Ford,Midrange,Automatic,Saudi,Full,2011,4.6,343000,29000
APV,Van,Dammam,Suzuki,Entry Level,Manual,Saudi,Standard,2017,1.6,80000,30000
S,Other,Riyadh,Mercedes,Premium Luxury,Automatic,Other,Full,2015,3.0,109000,199000
